Ticker,Company Name
ABCB4,ABC BRASIL PN
AGRO3,BRASILAGRO ON
RAIL3,RUMO ON NM
ALPA3,ALPARGATAS ON
ALPA4,ALPARGATAS PN
ALSO3,Aliansce Sonae
AMAR3,LOJAS MARISA ON
ABEV3,AMBEV S/A ON
ADHM3,Advanced Digital Health
ARZZ3,AREZZO CO ON
BBAS3,BRASIL ON
BBDC3,BRADESCO ON
BBDC4,BRADESCO PN EJ N1
BBRK3,BR BROKERS ON
BEEF3,MINERVA ON
BPHA3,BR PHARMA ON
BPAN4,BANCO PAN SA PN
BRAP3,BRADESPAR ON
BRAP4,BRADESPAR PN
BRFS3,BRF SA ON
APER3,BR Insurance Corretora
BRKM3,BRASKEM ON
BRKM5,BRASKEM PNA
BRML3,BR MALLS PAR ON
BRPR3,BR PROPERT ON
BRSR6,BANRISUL PNB
OIBR3,OI ON N1
OIBR4,OI PN
BTOW3,B2W DIGITAL ON
B3SA3,B3 SA Brasil Bolsa Balcao
CAMB4,CAMBUCI PN
CARD3,CSU CARDSYST ON
CCPR3,CYRE COM-CCP ON
CCRO3,CCR SA ON
CEDO4,CEDRO PN
CEED3,CEEE-D ON
CESP6,CESP PNB
CGAS5,COMGAS PNA
CGRA4,GRAZZIOTIN PN
CIEL3,CIELO ON
CMIG3,CEMIG ON
CMIG4,CEMIG PN
COCE5,COELCE PNA
CPFE3,CPFL ENERGIAON NM
CPLE3,COPEL ON
CPLE6,COPEL PNB
CRDE3,CR2 ON
CSAN3,COSAN ON
CSMG3,COPASA ON
CSNA3,SID NACIONAL ON
LIQO3,Contax Participacoes
CTNM4,COTEMINAS PN
CYRE3,CYRELA REALT ON
DASA3,DASA ON
DIRR3,DIRECIONAL ON
DTEX3,DURATEX ON
ECOR3,ECORODOVIAS ON
EEEL3,CEEE-GT ON
ELEK4,ELEKEIROZ PN
ELET3,ELETROBRAS ON
ELET6,ELETROBRAS PNB
EMBR3,EMBRAER ON
ENBR3,ENERGIAS BR ON
ENGI4,ENERGISA PN
EQTL3,EQUATORIAL ON
YDUQ3,YDUQS Part ON
ETER3,ETERNIT ON
EUCA4,EUCATEX PN
EVEN3,EVEN ON
EZTC3,EZTEC ON
FESA4,FERBASA PN
FHER3,FER HERINGER ON
TASA4,Taurus Armas PN
FLRY3,FLEURY ON
FRIO3,METALFRIO ON
TIET3,AES TIETE E ON N2
TIET4,AES TIETE E PN N2
GFSA3,GAFISA ON
GGBR3,GERDAU ON
GGBR4,GERDAU PN N1
GOAU3,GERDAU MET ON
GOAU4,GERDAU MET PN
GOLL4,GOL PN N2
GRND3,GRENDENE ON
GSHP3,GENERALSHOPP ON
HBOR3,HELBOR ON
HGTX3,CIA HERING ON
PRIO3,PETRORIO ON NM
HYPE3,HYPERMARCAS ON
IDNT3,IDEIASNET ON
