Ticker,Company Name
ABCB4.SA,ABC BRASIL PN
AGRO3.SA,BRASILAGRO ON
RAIL3.SA,RUMO ON NM
ALPA3.SA,ALPARGATAS ON
ALPA4.SA,ALPARGATAS PN
ALSO3.SA,Aliansce Sonae
AMAR3.SA,LOJAS MARISA ON
ABEV3.SA,AMBEV S/A ON
ADHM3.SA,Advanced Digital Health
ARZZ3.SA,AREZZO CO ON
BBAS3.SA,BRASIL ON
BBDC3.SA,BRADESCO ON
BBDC4.SA,BRADESCO PN EJ N1
BBRK3.SA,BR BROKERS ON
BEEF3.SA,MINERVA ON
BPHA3.SA,BR PHARMA ON
BPAN4.SA,BANCO PAN SA PN
BRAP3.SA,BRADESPAR ON
BRAP4.SA,BRADESPAR PN
BRFS3.SA,BRF SA ON
APER3.SA,BR Insurance Corretora
BRKM3.SA,BRASKEM ON
BRKM5.SA,BRASKEM PNA
BRML3.SA,BR MALLS PAR ON
BRPR3.SA,BR PROPERT ON
BRSR6.SA,BANRISUL PNB
OIBR3.SA,OI ON N1
OIBR4.SA,OI PN
BTOW3.SA,B2W DIGITAL ON
B3SA3.SA,B3 SA Brasil Bolsa Balcao
CAMB4.SA,CAMBUCI PN
CARD3.SA,CSU CARDSYST ON
CCPR3.SA,CYRE COM-CCP ON
CCRO3.SA,CCR SA ON
CEDO4.SA,CEDRO PN
CEED3.SA,CEEE-D ON
CESP6.SA,CESP PNB
CGAS5.SA,COMGAS PNA
CGRA4.SA,GRAZZIOTIN PN
CIEL3.SA,CIELO ON
CMIG3.SA,CEMIG ON
CMIG4.SA,CEMIG PN
COCE5.SA,COELCE PNA
CPFE3.SA,CPFL ENERGIAON NM
CPLE3.SA,COPEL ON
CPLE6.SA,COPEL PNB
CRDE3.SA,CR2 ON
CSAN3.SA,COSAN ON
CSMG3.SA,COPASA ON
CSNA3.SA,SID NACIONAL ON
LIQO3.SA,Contax Participacoes
CTNM4.SA,COTEMINAS PN
CYRE3.SA,CYRELA REALT ON
DASA3.SA,DASA ON
DIRR3.SA,DIRECIONAL ON
DTEX3.SA,DURATEX ON
ECOR3.SA,ECORODOVIAS ON
EEEL3.SA,CEEE-GT ON
ELEK4.SA,ELEKEIROZ PN
ELET3.SA,ELETROBRAS ON
ELET6.SA,ELETROBRAS PNB
EMBR3.SA,EMBRAER ON
ENBR3.SA,ENERGIAS BR ON
ENGI4.SA,ENERGISA PN
EQTL3.SA,EQUATORIAL ON
YDUQ3.SA,YDUQS Part ON
ETER3.SA,ETERNIT ON
EUCA4.SA,EUCATEX PN
EVEN3.SA,EVEN ON
EZTC3.SA,EZTEC ON
FESA4.SA,FERBASA PN
FHER3.SA,FER HERINGER ON
TASA4.SA,Taurus Armas PN
FLRY3.SA,FLEURY ON
FRIO3.SA,METALFRIO ON
TIET3.SA,AES TIETE E ON N2
TIET4.SA,AES TIETE E PN N2
GFSA3.SA,GAFISA ON
GGBR3.SA,GERDAU ON
GGBR4.SA,GERDAU PN N1
GOAU3.SA,GERDAU MET ON
GOAU4.SA,GERDAU MET PN
GOLL4.SA,GOL PN N2
GRND3.SA,GRENDENE ON
GSHP3.SA,GENERALSHOPP ON
HBOR3.SA,HELBOR ON
HGTX3.SA,CIA HERING ON
PRIO3.SA,PETRORIO ON NM
HYPE3.SA,HYPERMARCAS ON
IDNT3.SA,IDEIASNET ON
IDVL4.SA,INDUSVAL PN
IGTA3.SA,IGUATEMI ON
MEAL3.SA,International Meal Company
INEP3.SA,INEPAR ON
INEP4.SA,INEPAR PN
ITSA3.SA,ITAUSA ON
ITSA4.SA,ITAUSA PN
ITUB3.SA,ITAUUNIBANCO ON
ITUB4.SA,ITAUUNIBANCOPN EB N1
JBSS3.SA,JBS ON
JFEN3.SA,JOAO FORTES ON
JHSF3.SA,JHSF PART ON
JSLG3.SA,JSL ON
KEPL3.SA,KEPLER WEBER ON
KLBN4.SA,KLABIN S/A PN
LAME3.SA,LOJAS AMERIC ON
LAME4.SA,LOJAS AMERIC PN
LEVE3.SA,METAL LEVE ON
LIGT3.SA,LIGHT S/A ON
LLIS3.SA,LE LIS BLANC ON
LOGN3.SA,LOG-IN ON
LPSB3.SA,LOPES BRASIL ON
LREN3.SA,LOJAS RENNER ON
LUPA3.SA,LUPATECH ON
MDIA3.SA,M.DIASBRANCO ON
MGEL4.SA,MANGELS INDL PN
MGLU3.SA,MAGAZ LUIZA ON
MILS3.SA,MILLS ON
MMXM3.SA,MMX MINER ON
ENEV3.SA,ENEVA ON NM
MRFG3.SA,MARFRIG ON
MRVE3.SA,MRV ON
MTIG4.SA,METAL IGUACU PN
MULT3.SA,MULTIPLAN ON
MYPK3.SA,IOCHP-MAXION ON
NATU3.SA,NATURA ON
ODPV3.SA,ODONTOPREV ON
OSXB3.SA,OSX BRASIL ON
PCAR4.SA,P.ACUCAR-CBD PN
PDGR3.SA,PDG REALT ON
PETR3.SA,PETROBRAS ON
PETR4.SA,PETROBRAS PN
PFRM3.SA,PROFARMA ON
PINE4.SA,PINE PN
PLAS3.SA,PLASCAR PART ON
PMAM3.SA,PARANAPANEMA ON
POMO3.SA,MARCOPOLO ON
POMO4.SA,MARCOPOLO PN
POSI3.SA,POSITIVO INF ON
PSSA3.SA,PORTO SEGURO ON
PTBL3.SA,PORTOBELLO ON
PTNT4.SA,PETTENATI PN
ENAT3.SA,Enauta ON
QUAL3.SA,QUALICORP ON
